Load,Displacement,Accelerometer
-14.953984260559082,0.007590856868773699,-0.055747810751199715
-14.822239875793455,0.007392229977995156,-0.07605034112930298
-14.861730575561525,0.007164387498050928,-0.08100149035453796
-14.974885940551758,0.006887139286845922,-0.03024084120988845
-14.883142471313475,0.007554912474006414,0.020360847935080528
-14.910340309143065,0.00783870555460453,-0.02919385582208633
-14.887263298034668,0.008117365650832653,-0.20486530661582947
-14.906267166137695,0.008448982611298561,-0.02346733771264553
-14.792214393615724,0.008204146288335323,-0.03392665833234787
-14.98998737335205,0.007996171712875366,-0.05007292330265045
-14.98898220062256,0.007995485328137875,0.06372376531362534
-14.991669654846193,0.008257698267698288,0.1812770664691925
-14.97547721862793,0.008080469444394112,0.1054036095738411
-14.878450393676758,0.008277203887701035,0.010734004899859428
-14.884540557861328,0.007874240167438984,0.14933139085769653
